National park,2011 total,2021 total,pop_in_threshold,difference
Dartmoor,"33,596",34124.0,34095.76531763303,28.234682366972265
Exmoor,"10,273",10192.0,10159.412100559854,32.58789944014643
Lake District,,38993.0,38896.020814466,96.97918553400086
New Forest,"34,922",34166.0,33989.08900839074,176.9109916092566
North York Moors,"23,380",22935.0,22651.116997116605,283.8830028833945
Northumberland,"1,993",1848.0,1844.2958098529414,3.7041901470586254
Peak District,"37,905",35901.0,35880.0244299731,20.97557002690155
South Downs,"112,343",113339.0,113544.33327299778,-205.33327299778466
The Broads,"6,271",6275.0,6499.068337699753,-224.0683376997531
Yorkshire Dales,,22798.0,22953.815850854415,-155.81585085441475
