OA21CD,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,GlobalID,index_righ,CODE,NAME,MEASURE,DESIG_DATE,HOTLINK,STATUS,National_P,Park_Popul,address_in,total_addr,address_ou,OA_Populat,pop_per_ad,pop_inside,pop_outsid,percentage_in,Threshold_0,Threshold_5,Threshold_10,Threshold_15,Threshold_20,Threshold_25,Threshold_30,Threshold_35,Threshold_40,Threshold_45,Threshold_50,Threshold_55,Threshold_60,Threshold_65,Threshold_70,Threshold_75,Threshold_80,Threshold_85,Threshold_90,Threshold_95
E00027390,E01005409,Oldham 020D,,402127,403557,53.5287,-1.96938,8dd705cd-c1da-4cc3-8d0b-7cb2be238540,3,8,PEAK DISTRICT,1438.0,1951-04-17,http://www.peakdistrict.gov.uk/,Designated,PEAK DISTRICT,321,8.0,117,109.0,321,2.743589743589744,21.94871794871795,299.05128205128204,0.06837606837606838,321,321,,,,,,,,,,,,,,,,,,
E00027395,E01005410,Oldham 006A,,401338,408961,53.5773,-1.98126,35aeed8a-be8d-4d9e-a60f-ad2643f55769,3,8,PEAK DISTRICT,1438.0,1951-04-17,http://www.peakdistrict.gov.uk/,Designated,PEAK DISTRICT,128,0.0,46,46.0,128,2.782608695652174,0.0,128.0,0.0,128,,,,,,,,,,,,,,,,,,,
E00027396,E01005410,Oldham 006A,,402683,407583,53.5649,-1.96096,b2e80262-8633-4018-a289-f9bbb8ea2409,3,8,PEAK DISTRICT,1438.0,1951-04-17,http://www.peakdistrict.gov.uk/,Designated,PEAK DISTRICT,288,14.0,126,112.0,288,2.285714285714286,32.0,256.0,0.1111111111111111,288,288,288,,,,,,,,,,,,,,,,,
E00027401,E01005410,Oldham 006A,,401412,406686,53.5568,-1.98015,454bcaf4-553e-4a28-88f6-f70a08d0b29c,3,8,PEAK DISTRICT,1438.0,1951-04-17,http://www.peakdistrict.gov.uk/,Designated,PEAK DISTRICT,232,15.0,89,74.0,232,2.606741573033708,39.10112359550562,192.8988764044944,0.16853932584269662,232,232,232,232,,,,,,,,,,,,,,,,
E00029923,E01005908,Stockport 017D,,398819,387648,53.3857,-2.01921,3d979985-c2b8-42c2-a0c9-aed7bdecdbeb,3,8,PEAK DISTRICT,1438.0,1951-04-17,http://www.peakdistrict.gov.uk/,Designated,PEAK DISTRICT,443,0.0,161,161.0,443,2.751552795031056,0.0,443.0,0.0,443,,,,,,,,,,,,,,,,,,,
E00030678,E01006056,Tameside 003A,,399683,402126,53.5158,-2.00624,64cc8e05-2fba-4049-9367-38e4cc581619,3,8,PEAK DISTRICT,1438.0,1951-04-17,http://www.peakdistrict.gov.uk/,Designated,PEAK DISTRICT,270,0.0,134,134.0,270,2.014925373134328,0.0,270.0,0.0,270,,,,,,,,,,,,,,,,,,,
E00030767,E01006073,Tameside 009D,,400094,399712,53.4941,-2.00004,1873cce1-3877-4a52-b73c-a478790d184a,3,8,PEAK DISTRICT,1438.0,1951-04-17,http://www.peakdistrict.gov.uk/,Designated,PEAK DISTRICT,304,0.0,117,117.0,304,2.598290598290598,0.0,304.0,0.0,304,,,,,,,,,,,,,,,,,,,
E00037628,E01007426,Barnsley 027D,,416485,403435,53.5273,-1.75279,12835f6b-a1bc-4566-b915-23c0a0296fa0,3,8,PEAK DISTRICT,1438.0,1951-04-17,http://www.peakdistrict.gov.uk/,Designated,PEAK DISTRICT,396,34.0,145,111.0,396,2.731034482758621,92.85517241379311,303.14482758620693,0.23448275862068965,396,396,396,396,396,,,,,,,,,,,,,,,
E00037631,E01007426,Barnsley 027D,,416937,399800,53.4947,-1.74617,aa77f532-48cb-4589-a2aa-8b971d488e43,3,8,PEAK DISTRICT,1438.0,1951-04-17,http://www.peakdistrict.gov.uk/,Designated,PEAK DISTRICT,236,11.0,96,85.0,236,2.458333333333333,27.041666666666668,208.95833333333334,0.11458333333333333,236,236,236,,,,,,,,,,,,,,,,,
E00040106,E01007926,Sheffield 068E,,429402,381580,53.3303,-1.55998,ed652c47-8ebd-4d54-a21a-557bc807f405,3,8,PEAK DISTRICT,1438.0,1951-04-17,http://www.peakdistrict.gov.uk/,Designated,PEAK DISTRICT,287,6.0,127,121.0,287,2.259842519685039,13.559055118110237,273.4409448818898,0.047244094488188976,287,,,,,,,,,,,,,,,,,,,
